Number,Time,Na,Name,DOB,Country,Heat,,Location,Date,Points,Indoor
1,3:45.14,,Jakob INGEBRIGTSEN,19 Sep 2000,NOR,1,,"Arena Stade Couvert, Liévin (FRA) (i)",13 February 2025,1330,
2,3:45.94,,Niels LAROS,17 Apr 2005,NED,1,,"Hayward Field, Eugene, OR (USA)",5 July 2025,1254,
3,3:45.95,,Yared NUGUSE,01 Jun 1999,USA,2,,"Hayward Field, Eugene, OR (USA)",5 July 2025,1254,
4,3:46.65,,Azeddine HABZ,19 Jul 1993,FRA,3,,"Hayward Field, Eugene, OR (USA)",5 July 2025,1245,
5,3:46.90,,Hobbs KESSLER,15 Mar 2003,USA,2,,"Armory Track&Field Center, New York, NY (USA) (i)",8 February 2025,1305,
6,3:47.43,,Cole HOCKER,6 Jun 2001,USA,4,,"Hayward Field, Eugene, OR (USA)",5 July 2025,1234,
7,3:47.46,,Reynold CHERUIYOT,30 Jul 2004,KEN,5,,"Hayward Field, Eugene, OR (USA)",5 Jul 2025,1234,
8,3:47.48,,Cameron MYERS,9 June 2006,AUS,3,,"Armory Track&Field Center, New York, NY (USA) (i)",8 Feb 2025,1297,
9,3:47.68,,Narve Gilje NORDÅS,30 Sep 1998,NOR,1,,"Olympiastadion, Berlin (GER)",27 July 2025,1231,
10,3:47.71,,Timothy CHERUIYOT,20 Nov 1995,KEN,7,,"Hayward Field, Eugene, OR (USA)",5 Jul 2025,1231,
11,3:47.82,,Jake WIGHTMAN,11 Jul 1994,GBR,8,,"Hayward Field, Eugene, OR (USA)",5 Jul 2025,1229,
12,3:48.11,,Federico RIVA,9 Nov 2000,ITA,2,,"Olympiastadion, Berlin (GER)",27 July 2025,1225,
13,3:48.25,,Isaac NADER,17 Aug 1999,POR,1,,"Bislett Stadion, Oslo (NOR)",12 Jun 2025,1224,
14,3:48.29,,Grant FISHER,22 Apr 1997,USA,9,,"Hayward Field, Eugene, OR (USA)",5 Jul 2025,1223,
15,3:48.32,,Ethan STRAND,19 Oct 2002,USA,1f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",1 Feb 2025,1285,
16,3:48.82,,Gary MARTIN,23 Dec 2003,USA,5,,"Armory Track&Field Center, New York, NY (USA) (i)",8 Feb 2025,1279,
