Number,Time,Na,Name,DOB,Country,Heat,,Location,Date,Points,Indoor
1,3:45.94,,Cole HOCKER,06 Jun 2001,USA,1f2,,"JDL Fast Track, Winston Salem, NC (USA) (i)",14 February 2026,1318,
2,3:47.57,,Cameron MYERS,9 Jun 2006,AUS,1,,"Armory Track&Field Center, New York, NY (USA) (i)",1 February 2026,1296,
3,3:48.31,,Yared NUGUSE,01 Jun 1999,USA,2,,"Armory Track&Field Center, New York, NY (USA) (i)",1 February 2026,1286,
4,3:48.68,,Hobbs KESSLER,15 Mar 2003,USA,3,,"Armory Track&Field Center, New York, NY (USA) (i)",1 February 2026,1280,
5,3:48.72,,Nico YOUNG,27 Jul 2002,USA,4,,"Armory Track&Field Center, New York, NY (USA) (i)",1 February 2026,1280,
6,3:48.88,,Sam RUTHE,12 Apr 2009,NZL,1f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",31 January 2026,1278,
7,3:49.54,,Andrew COSCORAN,18 Jun 1996,IRL,5,,"Armory Track&Field Center, New York, NY (USA) (i)",1 Feb 2026,1269,
8,3:50.31,,Pieter SISK,8 December 1999,BEL,2f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",31 Jan 2026,1258,
8,3:50.31,,Nathan GREEN,10 Apr 2003,USA,1f2,,"Dempsey Indoor, Seattle, WA (USA) (i)",13 February 2026,1197,
10,3:50.37,,Wes PORTER,18 Sep 2001,USA,1f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",13 Feb 2026,1257,
11,3:50.49,,Cooper TEARE,18 Aug 1999,USA,2f2,,"JDL Fast Track, Winston Salem, NC (USA) (i)",14 Feb 2026,1256,
12,3:50.94,,Festus LAGAT,10 Oct 1996,KEN,6,,"Armory Track&Field Center, New York, NY (USA) (i)",1 February 2026,1250,
13,3:51.07,,Robert FARKEN,20 Sep 1997,GER,7,,"Armory Track&Field Center, New York, NY (USA) (i)",1 Feb 2026,1248,
14,3:51.08,,Davis BOVE,17 Oct 2000,USA,3f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",31 Jan 2026,1248,
15,3:51.33,,Aaron AHL,25 Feb 1999,CAN,2f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",13 Feb 2026,1244,
16,3:51.39,,Foster MALLECK,12 Aug 2001,CAN,4f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",31 Jan 2026,1243,
17,3:51.70,,Vincent CIATTEI,21 Jan 1995,USA,3f2,,"JDL Fast Track, Winston Salem, NC (USA) (i)",14 February 2026,1239,
18,3:51.86,,Samuel PRAKEL,29 Oct 1994,USA,1f2,,"Dempsey Indoor, Seattle, WA (USA) (i)",30 January 2026,1177,
19,3:51.90,,Titouan LE GRIX,16 Jun 2002,FRA,4f2,,"JDL Fast Track, Winston Salem, NC (USA) (i)",14 Feb 2026,1237,
20,3:52.02,,George COUTTIE,15 Jan 2005,GBR,5f2,,"JDL Fast Track, Winston Salem, NC (USA) (i)",14 Feb 2026,1235,
21,3:52.08,,Benjamin ALLEN,17 Apr 1998,USA,3f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",13 Feb 2026,1234,
22,3:52.09,,Jack ANSTEY,08 Apr 1997,AUS,6f2,,"JDL Fast Track, Winston Salem, NC (USA) (i)",14 Feb 2026,1234,
23,3:52.27,,Thomas RATCLIFFE,3 September 1997,USA,2f2,,"Dempsey Indoor, Seattle, WA (USA) (i)",30 Jan 2026,1171,
24,3:52.30,,Colin SAHLMAN,28 Oct 2003,USA,4f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",13 Feb 2026,1231,
25,3:52.32,,Elliott COOK,22 Feb 2002,USA,6f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",13 Feb 2026,1231,
26,3:52.37,,Reuben REINA,1999,USA,3f2,,"Dempsey Indoor, Seattle, WA (USA) (i)",30 Jan 2026,1170,
27,3:52.44,,Pierre-Antoine ATTIOGBE,16 Mar 2005,FRA,7f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",13 February 2026,1229,
28,3:52.49,,Thomas DIAMOND,20 July 2004,AUS,2f2,,"Dempsey Indoor, Seattle, WA (USA) (i)",13 Feb 2026,1169,
29,3:52.62,,Gary MARTIN,23 Dec 2003,USA,8,,"Armory Track&Field Center, New York, NY (USA) (i)",1 Feb 2026,1227,
30,3:52.68,,Luke HOUSER,02 May 2001,USA,5f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",31 Jan 2026,1226,
31,3:52.73,,Trent MCFARLAND,1 Jun 2005,USA,1f1,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",31 Jan 2026,1225,
32,3:52.84,,Carter CUTTING,10 January 2005,USA,8f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",13 Feb 2026,1224,
33,3:52.95,,Paul SPECHT,13 Dec 2002,GER,1f1,,"JDL Fast Track, Winston Salem, NC (USA) (i)",14 Feb 2026,1222,
34,3:53.04,,Matthew WILKINSON,27 Dec 1998,USA,1f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",31 Jan 2026,1221,
35,3:53.05,,Eduardo HERRERA,23 Sep 1997,MEX,2f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",22 Feb 2026,1221,
36,3:53.06,,Kasey KNEVELBAARD,2 Sep 1996,USA,2f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",31 Jan 2026,1221,
37,3:53.24,,Max DAVIES,19 Dec 2003,CAN,9f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",13 Feb 2026,1219,
