Number,Time,Name,DOB,Country,Heat,,Location,Date,Points,Indoor
1,3:47.83,Yared NUGUSE,01 Jun 1999,USA,1,,"Armory Track&Field Center, New York, NY (USA) (i)",11 Feb 2024,1292,1
2,3:48.66,Hobbs KESSLER,15 Mar 2003,USA,2,,"Armory Track&Field Center, New York, NY (USA) (i)",11 Feb 2024,1281,1
3,3:48.93,George MILLS,12 May 1999,GBR,3,,"Armory Track&Field Center, New York, NY (USA) (i)",11 Feb 2024,1277,1
4,3:49.62,Adam FOGG,27 Jan 1999,GBR,4,,"Armory Track&Field Center, New York, NY (USA) (i)",11 Feb 2024,1268,1
5,3:51.72,Johnathan RENIEWICKI,03 Oct 1995,USA,1f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 Feb 2024,1239,1
6,3:51.73,Luke HOUSER,,USA,1f22,,"Dempsey Indoor, Seattle, WA (USA) (i)",27 Jan 2024,1178,1
7,3:51.91,Mohamed KATIR,17 Feb 1998,ESP,1,,"Stade couvert Jesse Owens, Val-de-Reuil (FRA) (i)",28 Jan 2024,1236,1
7,3:51.91,Anass ESSAYI,18 May 2001,MAR,2f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 Feb 2024,1236,1
9,3:51.92,Casey COMBER,04 Nov 1996,USA,5,,"Armory Track&Field Center, New York, NY (USA) (i)",11 Feb 2024,1236,1
10,3:52.00,Stewart MCSWEYN,01 Jun 1995,AUS,1,,"Lakeside Stadium, Melbourne (AUS)",15 Feb 2024,1175,1
11,3:52.05,Craig ENGELS,01 May 1994,USA,3f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 Feb 2024,1235,1
12,3:52.07,Vincent CIATTEI,21 Jan 1995,USA,1f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",03 Feb 2024,1234,1
13,3:52.11,Jake WIGHTMAN,11 Jul 1994,GBR,2,,"Lakeside Stadium, Melbourne (AUS)",15 Feb 2024,1174,1
14,3:52.28,Jack ANSTEY,08 Apr 1997,AUS,2f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",03 Feb 2024,1231,1
15,3:52.35,Eric HOLT,12 May 1995,USA,4f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 Feb 2024,1231,1
16,3:52.44,Cameron MYERS,09 Jun 2006,AUS,3,,"Lakeside Stadium, Melbourne (AUS)",15 Feb 2024,1169,1
17,3:52.62,Henry WYNNE,18 Apr 1995,USA,1,,"Dempsey Indoor, Seattle, WA (USA) (i)",23 Feb 2024,1167,1
18,3:52.65,Samuel PRAKEL,29 Oct 1994,USA,2,,"Dempsey Indoor, Seattle, WA (USA) (i)",23 Feb 2024,1167,1
19,3:52.66,Thomas VANOPPEN,19 Sep 1999,BEL,5f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 Feb 2024,1226,1
20,3:52.67,Charles GRETHEN,02 Jun 1992,LUX,3f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",03 Feb 2024,1226,1
21,3:52.70,Adam SPENCER,04 Oct 2001,AUS,6,,"Armory Track&Field Center, New York, NY (USA) (i)",11 Feb 2024,1226,1
22,3:52.81,AJ ERNST,28 Aug 1998,USA,4f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",03 Feb 2024,1224,1
23,3:53.09,Brannon KIDDER,18 Nov 1993,USA,2f22,,"Dempsey Indoor, Seattle, WA (USA) (i)",27 Jan 2024,1161,1
