Number,Time,Na,Name,DOB,Country,Heat,,Location,Date,Points,Indoor
1,3:45.34,,Josh KERR,08 Oct 1997,GBR,1,,"Hayward Field, Eugene, OR (USA)",25 May 2024,1262,0
2,3:45.60,,Jakob INGEBRIGTSEN,19 Sep 2000,NOR,2,,"Hayward Field, Eugene, OR (USA)",25 May 2024,1259,0
3,3:46.22,,Yared NUGUSE,01 Jun 1999,USA,3,,"Hayward Field, Eugene, OR (USA)",25 May 2024,1250,0
4,3:47.74,,Neil GOURLEY,07 Feb 1995,GBR,4,,"Hayward Field, Eugene, OR (USA)",25 May 2024,1230,0
5,3:47.83,,Jake WIGHTMAN,11 Jul 1994,GBR,5,,"Hayward Field, Eugene, OR (USA)",25 May 2024,1229,0
6,3:48.59,,Reynold CHERUIYOT,30 Jul 2004,KEN,6,,"Hayward Field, Eugene, OR (USA)",25 May 2024,1219,0
7,3:48.66,,Hobbs KESSLER,15 Mar 2003,USA,2,,"Armory Track&Field Center, New York, NY (USA) (i)",11 Feb 2024,1281,0
8,3:48.93,,George MILLS,12 May 1999,GBR,3,,"Armory Track&Field Center, New York, NY (USA) (i)",11 Feb 2024,1277,0
9,3:48.95,,Cole HOCKER,06 Jun 2001,USA,7,,"Hayward Field, Eugene, OR (USA)",25 May 2024,1214,0
10,3:49.03,,Oliver HOARE,29 Jan 1997,AUS,1,,"Olympic Stadium, London (GBR)",20 Jul 2024,1213,0
11,3:49.06,,Narve Gilje NORDÅS,30 Sep 1998,NOR,2,,"Olympic Stadium, London (GBR)",20 Jul 2024,1213,0
12,3:49.09,,Geordie BEAMISH,24 Oct 1996,NZL,8,,"Hayward Field, Eugene, OR (USA)",25 May 2024,1213,0
13,3:49.21,,Adel MECHAAL,05 Dec 1990,ESP,3,,"Olympic Stadium, London (GBR)",20 Jul 2024,1211,0
14,3:49.45,,Niels LAROS,17 Apr 2005,NED,4,,"Olympic Stadium, London (GBR)",20 Jul 2024,1208,0
15,3:49.59,,Stewart MCSWEYN,01 Jun 1995,AUS,5,,"Olympic Stadium, London (GBR)",20 Jul 2024,1206,0
16,3:49.62,,Adam FOGG,27 Jan 1999,GBR,4,,"Armory Track&Field Center, New York, NY (USA) (i)",11 Feb 2024,1268,0
17,3:50.14,,Mario GARCÍA,29 Jun 1999,ESP,10,,"Hayward Field, Eugene, OR (USA)",25 May 2024,1199,0
18,3:50.15,,Cameron MYERS,09 Jun 2006,AUS,11,,"Hayward Field, Eugene, OR (USA)",25 May 2024,1199,0
19,3:50.49,,Andrew COSCORAN,18 Jun 1996,IRL,8,,"Olympic Stadium, London (GBR)",20 Jul 2024,1194,0
20,3:50.56,,Vincent CIATTEI,21 Jan 1995,USA,1f2,,"Armory Track&Field Center, New York, NY (USA) (i)",02 Mar 2024,1255,0
21,3:50.92,,Filip RAK,03 Feb 2003,POL,9,,"Olympic Stadium, London (GBR)",20 Jul 2024,1189,0
22,3:51.00,,Jochem VERMEULEN,02 Aug 1998,BEL,10,,"Olympic Stadium, London (GBR)",20 Jul 2024,1188,0
23,3:51.46,,Eric HOLT,12 May 1995,USA,3,,"Franklin Field, Philadelphia, PA (USA)",27 Apr 2024,1182,0
24,3:51.51,,Jack ANSTEY,08 Apr 1997,AUS,2f2,,"Armory Track&Field Center, New York, NY (USA) (i)",02 Mar 2024,1242,0
25,3:51.72,,Johnathan RENIEWICKI,03 Oct 1995,USA,1f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 Feb 2024,1239,0
26,3:51.73,,Luke HOUSER,02 May 2001,USA,1f22,,"Dempsey Indoor, Seattle, WA (USA) (i)",27 Jan 2024,1178,0
27,3:51.82,,Abel KIPSANG,22 Nov 1996,KEN,12,,"Hayward Field, Eugene, OR (USA)",25 May 2024,1177,0
28,3:51.91,,Anass ESSAYI,18 May 2001,MAR,2f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 Feb 2024,1236,0
29,3:51.92,,Casey COMBER,04 Nov 1996,USA,5,,"Armory Track&Field Center, New York, NY (USA) (i)",11 Feb 2024,1236,0
30,3:52.05,,Craig ENGELS,01 May 1994,USA,3f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 Feb 2024,1235,0
31,3:52.06,,Cathal DOYLE,12 Nov 1997,IRL,1,,"Morton Stadium, Dublin (IRL)",12 Jul 2024,1174,0
32,3:52.30,,Elliot GILES,26 May 1994,GBR,11,,"Olympic Stadium, London (GBR)",20 Jul 2024,1171,0
