Name,FirstTime,FirstDate,PB,PBDate,OutdoorPB,OutdoorLocation,OutdoorDate,IndoorPB,IndoorLocation,IndoorDate,DOB,Country,FastestTime,FastestDate
david nikolli,3:57.560,6/11/2022,,,3:57.560,"arena civica, milano (ita)",6/11/2022,,,,6/20/1994,alb,3:57.560,6/11/2022
noureddine morceli,3:59.790,6/10/1989,,,3:44.390,rieti (ita),9/5/1993,3:50.700,birmingham (gbr),2/20/1993,2/28/1970,alg,3:44.390,9/5/1993
yassine hethat,3:59.680,6/20/2019,,,3:59.680,"mestsky stadion, ostrava (cze)",6/20/2019,,,,8/30/1991,alg,3:59.680,6/20/2019
abderrazak bounour,3:59.090,6/10/1982,,,3:58.020,formia (ita),6/16/1985,,,,1/11/1957,alg,3:58.020,6/16/1985
takieddine hedeilli,3:58.880,2/15/2020,,,,,,3:56.790,"randal tyson indoor center, fayetteville, ar (usa)",2/7/2021,6/6/1996,alg,3:56.790,2/7/2021
ahmed krama,3:58.640,8/30/1996,,,3:57.270,"new york, ny (usa)",7/21/1998,,,,2/14/1973,alg,3:57.270,7/21/1998
abderrahmane morceli,3:58.190,9/9/1981,,,3:54.630,roma (ita),9/1/1983,,,,5/10/1905,alg,3:54.630,9/1/1983
mehdi aidet,3:57.390,6/10/1982,,,3:57.390,barcelona (esp),6/10/1982,,,,11/3/1953,alg,3:57.390,6/10/1982
amar brahmia,3:57.200,9/9/1981,,,3:57.200,rieti (ita),9/9/1981,,,,9/2/1954,alg,3:57.200,9/9/1981
ali saidi-sief,3:56.280,7/16/1997,,,3:48.230,oslo (nor),7/13/2001,,,,3/15/1978,alg,3:48.230,7/13/2001
miloud abaoub,3:55.490,7/16/1997,,,3:55.490,nice (fra),7/16/1997,,,,4/23/1977,alg,3:55.490,7/16/1997
mohamed khaldi,3:54.660,8/25/2000,,,3:54.660,bruxelles (bel),8/25/2000,,,,3/5/1975,alg,3:54.660,8/25/2000
taoufik makhloufi,3:52.940,6/10/2013,,,3:52.160,"hayward field, eugene, or (usa)",5/31/2014,,,,4/29/1988,alg,3:52.160,5/31/2014
tarek boukensa,3:52.340,9/7/2003,,,3:49.950,oslo (nor),7/29/2005,,,,11/19/1981,alg,3:49.950,7/29/2005
rachid karama,3:52.720,7/16/1997,,,3:52.720,nice (fra),7/16/1997,,,,4/5/1963,alg,3:52.720,7/16/1997
kamal boulahfane,3:59.300,7/7/1998,,,3:59.300,zagreb (cro),7/7/1998,,,,7/1/1976,alg,3:59.300,7/7/1998
nacer brahmia,3:59.740,8/18/1989,,,3:59.740,"olympiastadion, berlin (ger)",8/18/1989,,,,5/16/1905,alg,3:59.740,8/18/1989
valentin smirnov,3:56.060,2/4/2018,,,,,,3:56.060,moskva (rus),2/4/2018,2/13/1986,ana,3:56.060,2/4/2018
federico bruno,3:59.270,3/31/2021,,,,,,,,,,arg,3:59.270,3/31/2021
mark tucker,3:59.990,6/5/2004,,,3:58.370,auckland (nzl),2/23/2005,,,,8/15/1979,aus,3:58.370,2/23/2005
chartt miller,3:59.990,2/25/2018,,,,,,3:59.990,"boston, ma (usa)",2/25/2018,5/7/1995,aus,3:59.990,2/25/2018
herb elliott,3:59.900,1/25/1958,,,3:54.500,dublin (irl),8/6/1958,,,,2/25/1938,aus,3:54.500,8/6/1958
matthew scarr,3:59.870,6/3/2023,,,3:59.870,"vanderbilt track, nashville, tn (usa)",6/3/2023,,,,8/3/1998,aus,3:59.870,6/3/2023
collis birmingham,3:59.840,5/4/2006,,,3:54.300,"crystal palace, london (gbr)",7/25/2009,,,,12/27/1984,aus,3:54.300,7/25/2009
keith wheeler,3:59.810,8/13/1966,,,3:59.810,kingston (jam),8/13/1966,,,,6/11/1943,aus,3:59.810,8/13/1966
matthew ramsden,3:59.800,5/27/2017,,,3:51.230,"centro enrico mattei, san donato milanese (ita)",9/5/2020,,,,7/23/1997,aus,3:51.230,9/5/2020
shaun creighton,3:59.800,11/24/1990,,,3:59.460,cork (irl),6/24/1995,,,,5/14/1967,aus,3:59.460,6/24/1995
tony benson,3:59.800,3/18/1971,,,3:59.800,melbourne (aus),3/18/1971,,,,5/20/1943,aus,3:59.800,3/18/1971
darren abbott,3:59.710,12/10/1991,,,3:58.380,melbourne (aus),2/25/1992,,,,8/16/1971,aus,3:58.380,2/25/1992
oliver hoare,3:59.700,6/10/2017,,,3:47.480,"bislett stadion, oslo (nor)",6/16/2022,3:50.830,"armory track&field center, new york, ny (usa)",1/29/2022,1/29/1997,aus,3:47.480,6/16/2022
kevin batt,3:59.700,2/21/2014,,,3:59.530,leixlip (irl),6/27/2014,3:59.700,"lincoln, ne (usa)",2/21/2014,2/28/1991,aus,3:59.530,6/27/2014
harry downes,3:59.700,3/9/1963,,,3:59.700,bendigo (aus),3/9/1963,,,,,aus,3:59.700,3/9/1963
cameron griffith,3:59.680,1/26/2019,,,,,,3:57.950,"randal tyson indoor center, fayetteville, ar (usa)",2/18/2022,8/31/1996,aus,3:57.950,2/18/2022
ryan gregson,3:59.670,6/17/2009,,,3:52.240,"crystal palace, london (gbr)",8/14/2010,3:55.970,"new york, ny (usa)",2/16/2013,4/26/1990,aus,3:52.240,8/14/2010
