Number,Time,Name,Country,DOB,Position,Location,Date
1,3:43.13,Hicham El Guerrouj,MAR,14.09.74,1,Roma,07.07.1999
2,3:43.40,Noah Ngeny,KEN,02.11.78,2,Roma,07.07.1999
3,3:43.73,Jakob Ingebrigtsen,NOR,19.09.00,1,Eugene,16.09.2023
4,3:43.97,Yared Nuguse,USA,01.06.99,2,Eugene,16.09.2023
5,3:44.39,Noureddine Morceli,ALG,28.02.70,1,Rieti,05.09.1993
6,3:44.60,Hicham El Guerrouj,MAR,14.09.74,1,Nice,16.07.1998
7,3:44.90,Hicham El Guerrouj,MAR,14.09.74,1,Oslo,04.07.1997
8,3:44.95,Hicham El Guerrouj,MAR,14.09.74,1,Roma,29.06.2001
9,3:45.19,Noureddine Morceli,ALG,28.02.70,1,Zürich,16.08.1995
10,3:45.34,Josh Kerr,GBR,08.10.97,1,Eugene,25.05.2024
11,3:45.60,Jakob Ingebrigtsen,NOR,19.09.00,2,Eugene,25.05.2024
12,3:45.64,Hicham El Guerrouj,MAR,14.09.74,1,Berlin,26.08.1997
13,3:45.94,Niels Laros,NED,17.09.05,1rA,Eugene,05.07.2025
14,3:45.95,Yared Nuguse,USA,01.06.99,2rA,Eugene,05.07.2025
15,3:45.96,Hicham El Guerrouj,MAR,14.09.74,1,London,05.08.2000
16,3:46.22,Yared Nuguse,USA,01.06.99,3,Eugene,25.05.2024
17,3:46.24,Hicham El Guerrouj,MAR,14.09.74,1,Oslo,28.07.2000
18,3:46.32,Steve Cram,GBR,14.10.60,1,Oslo,27.07.1985
19,3:46.38,Daniel Komen,KEN,17.05.76,2,Berlin,26.08.1997
20,3:46.46,Jakob Ingebrigtsen,NOR,19.09.00,1,Oslo,16.06.2022
21,3:46.65,Azeddine Habz,FRA,19.07.93,3rA,Eugene,05.07.2025
22,3:46.70,Vénuste Niyongabo,BDI,09.12.73,3,Berlin,26.08.1997
23,3:46.76,Saïd Aouita,MAR,02.11.59,1,Helsinki,02.07.1987
24,3:46.78,Noureddine Morceli,ALG,28.02.70,1,Berlin,27.08.1993
25,3:46.91,Alan Webb,USA,13.01.83,1,Brasschaat,21.07.2007
26,3:46.92,Saïd Aouita,MAR,02.11.59,1,Zürich,21.08.1985
27,3:47.10,Hicham El Guerrouj,MAR,14.09.74,1,London,07.08.1999
28,3:47.24,Jakob Ingebrigtsen,NOR,19.09.00,1,Eugene,21.08.2021
29,3:47.28,Bernard Lagat,KEN,12.12.74,2,Roma,29.06.2001
30,3:47.30,Noureddine Morceli,ALG,28.02.70,1,Bruxelles,03.09.1993
31,3:47.32,Ayanleh Souleiman,DJI,03.12.92,1rA,Eugene,31.05.2014
32,3:47.33,Sebastian Coe,GBR,29.09.56,1,Bruxelles,28.08.1981
33,3:47.43,Cole Hocker,USA,06.06.01,4rA,Eugene,05.07.2025
34,3:47.46,Reynold Cheruiyot,KEN,30.07.04,5rA,Eugene,05.07.2025
35,3:47.48,Oliver Hoare,AUS,29.01.97,2,Oslo,16.06.2022
36,3:47.50,Cameron Myers,AUS,09.06.06,6rA,Eugene,05.07.2025
37,3:47.65,Laban Rotich,KEN,20.01.69,2,Oslo,04.07.1997
37,3:47.65,George Mills,GBR,12.05.99,3,Eugene,16.09.2023
39,3:47.67,Noah Ngeny,KEN,02.11.78,2,London,05.08.2000
40,3:47.68,Narve Gilje Nordås,NOR,30.09.98,1,Berlin,27.07.2025
41,3:47.69,Steve Scott,USA,05.05.56,1,Oslo,07.07.1982
41,3:47.69,Mario García,ESP,29.06.99,4,Eugene,16.09.2023
43,3:47.71,Timothy Cheruiyot,KEN,20.11.95,7rA,Eugene,05.07.2025
44,3:47.74,Neil Gourley,GBR,07.02.95,4,Eugene,25.05.2024
45,3:47.78,Noureddine Morceli,ALG,28.02.70,1,Oslo,10.07.1993
46,3:47.79,José Luis González,ESP,08.12.57,2,Oslo,27.07.1985
47,3:47.82,Jake Wightman,GBR,11.07.94,8rA,Eugene,05.07.2025
48,3:47.83,Jake Wightman,GBR,11.07.94,5,Eugene,25.05.2024
49,3:47.85,Daniel Komen,KEN,17.05.76,1,Rieti,03.09.1997
50,3:47.88,John Kibowen,KEN,21.04.69,3,Oslo,04.07.1997
50,3:47.88,Silas Kiplagat,KEN,20.08.89,2rA,Eugene,31.05.2014
52,3:47.91,Hicham El Guerrouj,MAR,14.09.74,1,Bruxelles,25.08.2000
53,3:47.94,William Chirchir,KEN,06.02.79,2,Oslo,28.07.2000
54,3:47.97,Dahame Najem Bashir,QAT,08.11.79,1,Oslo,29.07.2005
55,3:48.06,Reynold Cheruiyot,KEN,30.07.04,5,Eugene,16.09.2023
56,3:48.08,Cole Hocker,USA,06.06.01,6,Eugene,16.09.2023
57,3:48.11,Federico Riva,ITA,09.11.00,2,Berlin,27.07.2025
58,3:48.15,Noureddine Morceli,ALG,28.02.70,1,Oslo,05.07.1996
59,3:48.17,Paul Korir,KEN,15.07.77,1,London,08.08.2003
60,3:48.23,William Chirchir,KEN,06.02.79,2,Bruxelles,25.08.2000
60,3:48.23,Ali Saïdi-Sief,ALG,15.03.78,1,Oslo,13.07.2001
62,3:48.24,Narve Gilje Nordås,NOR,30.09.98,7,Eugene,16.09.2023
63,3:48.25,Isaac Nader,POR,17.08.99,1,Oslo,12.06.2025
64,3:48.26,Noureddine Morceli,ALG,28.02.70,1,Berlin,01.09.1995
64,3:48.26,Vénuste Niyongabo,BDI,09.12.73,4,Oslo,04.07.1997
66,3:48.28,Hicham El Guerrouj,MAR,14.09.74,1,Roma,12.07.2002
66,3:48.28,Daniel Kipchirchir Komen,KEN,27.11.84,1,Eugene,10.06.2007
